simulation_id,target_rate_prestacion_efectiva,target_rate_lista_espera,target_rate_sin_grado,target_final_prestacion_efectiva,target_final_lista_espera,target_final_sin_grado,target_month_prestacion_effectiva_exceeds_no_solicitantes
34,0.4233599498982308,0.1935180836073274,0.20651322999843433,2704,1236,1319,36
35,0.4050414905276343,0.2273367778299671,0.20745263817128543,2587,1452,1325,35
36,0.47440112728980743,0.24408955691247847,0.11022389228119618,3030,1559,704,32
37,0.4247690621575074,0.16705808673868797,0.2091748864881791,2713,1067,1336,37
38,0.4578049162361046,0.21762956004383904,0.13824956943792077,2924,1390,883,35
39,0.4906842022858932,0.16893690308439016,0.15891654924064505,3134,1079,1015,33
40,0.4805072804133396,0.17269453577579458,0.15641146077970877,3069,1103,999,34
41,0.3882887114451229,0.21950837638954127,0.2235791451385627,2480,1402,1428,37
42,0.47111319868482854,0.13699702520745263,0.23594801941443558,3009,875,1507,33
43,0.39204634413652734,0.20651322999843433,0.21903867230311572,2504,1319,1399,38
44,0.4427743854704869,0.26663535306090497,0.12180992641302646,2828,1703,778,33
45,0.4598403006106153,0.21919524033192422,0.11460779708783467,2937,1400,732,36
46,0.48833568185376547,0.20494754971034915,0.11664318146234538,3119,1309,745,34
47,0.5138562705495537,0.17707844058243308,0.10349146704242994,3282,1131,661,34
48,0.4767496477219352,0.18349772976358228,0.13746672929387818,3045,1172,878,35
49,0.4960075152653828,0.15703773289494286,0.13511820886175044,3168,1003,863,35
50,0.4942852669484891,0.1611085016439643,0.16549240645060279,3157,1029,1057,34
51,0.43932988883669954,0.24925630186315953,0.16142163770158133,2806,1592,1031,33
52,0.39267261625176136,0.2325035227806482,0.20792234225771097,2508,1485,1328,37
53,0.5670894003444497,0.17394708000626272,0.09926413026459997,3622,1111,634,30
54,0.4690778143103178,0.16784092688273056,0.180992641302646,2996,1072,1156,34
55,0.47518396743385,0.1575074369813684,0.1755127602943479,3035,1006,1121,35
