simulation_id,node_id,node_type,value_initial,value_final,value_max,value_min,value_mean,rate_final
38,teleasistencia,benefit,0.0,862.0,862.0,0.0,443.9344262295082,0.2948016415868673
38,ayuda_domicilio,benefit,0.0,635.0,635.0,0.0,347.42622950819674,0.21716826265389877
38,atencion_residencial,benefit,0.0,310.0,310.0,0.0,159.327868852459,0.10601915184678523
38,cuidados_familiares,benefit,0.0,1117.0,1117.0,0.0,589.9672131147541,0.3820109439124487
39,sistema,system,6387.0,6387.0,6387.0,6387.0,6387.0,1.0
39,vulnerables,population,6387.0,6387.0,6387.0,6387.0,6387.0,1.0
39,no_solicitantes,administrative_state,6387.0,792.0,6387.0,792.0,2680.2295081967213,0.1240018788163457
39,pendiente_grado,administrative_state,0.0,189.0,882.0,0.0,501.08196721311475,0.02959135744480977
39,sin_grado,administrative_state,0.0,1015.0,1015.0,0.0,596.5081967213115,0.15891654924064505
39,con_derecho,administrative_state,0.0,146.0,550.0,0.0,324.59016393442624,0.022858932206043524
39,con_pia,administrative_state,0.0,32.0,125.0,0.0,69.59016393442623,0.005010176921872554
39,prestacion_efectiva,administrative_state,0.0,3134.0,3134.0,0.0,1657.327868852459,0.4906842022858932
39,lista_espera,administrative_state,0.0,1079.0,1079.0,0.0,557.672131147541,0.16893690308439016
39,grado_I,degree,0.0,1512.0,1512.0,0.0,897.311475409836,0.34434069687998176
39,grado_II,degree,0.0,1658.0,1658.0,0.0,985.0491803278688,0.3775905260760647
39,grado_III,degree,0.0,1221.0,1221.0,0.0,726.8196721311475,0.27806877704395355
39,teleasistencia,benefit,0.0,1015.0,1015.0,0.0,537.5573770491803,0.3238672622846203
39,ayuda_domicilio,benefit,0.0,682.0,682.0,0.0,364.60655737704917,0.21761327377153797
39,atencion_residencial,benefit,0.0,308.0,308.0,0.0,165.36065573770492,0.0982769623484365
39,cuidados_familiares,benefit,0.0,1129.0,1129.0,0.0,589.8032786885246,0.3602425015954052
40,sistema,system,6387.0,6387.0,6387.0,6387.0,6387.0,1.0
40,vulnerables,population,6387.0,6387.0,6387.0,6387.0,6387.0,1.0
40,no_solicitantes,administrative_state,6387.0,830.0,6387.0,830.0,2766.065573770492,0.12995146391106935
40,pendiente_grado,administrative_state,0.0,207.0,818.0,0.0,477.6885245901639,0.032409581963363084
40,sin_grado,administrative_state,0.0,999.0,999.0,0.0,581.1639344262295,0.15641146077970877
40,con_derecho,administrative_state,0.0,137.0,481.0,0.0,290.08196721311475,0.02144981994676687
40,con_pia,administrative_state,0.0,42.0,137.0,0.0,69.08196721311475,0.006575857209957727
40,prestacion_efectiva,administrative_state,0.0,3069.0,3069.0,0.0,1616.4426229508197,0.4805072804133396
40,lista_espera,administrative_state,0.0,1103.0,1103.0,0.0,586.4754098360655,0.17269453577579458
40,grado_I,degree,0.0,1640.0,1640.0,0.0,982.655737704918,0.37692484486324984
40,grado_II,degree,0.0,1628.0,1628.0,0.0,950.1475409836065,0.37416685819351875
40,grado_III,degree,0.0,1083.0,1083.0,0.0,629.2786885245902,0.24890829694323144
40,teleasistencia,benefit,0.0,1059.0,1059.0,0.0,549.0819672131148,0.34506353861192574
40,ayuda_domicilio,benefit,0.0,635.0,635.0,0.0,335.672131147541,0.20690778755294884
40,atencion_residencial,benefit,0.0,319.0,319.0,0.0,165.86885245901638,0.1039426523297491
40,cuidados_familiares,benefit,0.0,1056.0,1056.0,0.0,565.8196721311475,0.34408602150537637
41,sistema,system,6387.0,6387.0,6387.0,6387.0,6387.0,1.0
41,vulnerables,population,6387.0,6387.0,6387.0,6387.0,6387.0,1.0
41,no_solicitantes,administrative_state,6387.0,714.0,6387.0,714.0,2664.1311475409834,0.11178957256928135
41,pendiente_grado,administrative_state,0.0,195.0,828.0,0.0,467.04918032786884,0.030530765617660875
41,sin_grado,administrative_state,0.0,1428.0,1428.0,0.0,849.5245901639345,0.2235791451385627
41,con_derecho,administrative_state,0.0,141.0,522.0,0.0,298.6393442622951,0.02207609206200094
41,con_pia,administrative_state,0.0,27.0,117.0,0.0,64.08196721311475,0.004227336777829967
41,prestacion_efectiva,administrative_state,0.0,2480.0,2480.0,0.0,1307.9016393442623,0.3882887114451229
41,lista_espera,administrative_state,0.0,1402.0,1402.0,0.0,735.672131147541,0.21950837638954127
41,grado_I,degree,0.0,1534.0,1534.0,0.0,915.1311475409836,0.37876543209876545
41,grado_II,degree,0.0,1457.0,1457.0,0.0,864.8196721311475,0.35975308641975307
41,grado_III,degree,0.0,1059.0,1059.0,0.0,626.344262295082,0.2614814814814815
41,teleasistencia,benefit,0.0,859.0,859.0,0.0,444.08196721311475,0.3463709677419355
41,ayuda_domicilio,benefit,0.0,483.0,483.0,0.0,265.3606557377049,0.19475806451612904
41,atencion_residencial,benefit,0.0,247.0,247.0,0.0,126.60655737704919,0.09959677419354838
41,cuidados_familiares,benefit,0.0,891.0,891.0,0.0,471.8524590163934,0.3592741935483871
42,sistema,system,6387.0,6387.0,6387.0,6387.0,6387.0,1.0
42,vulnerables,population,6387.0,6387.0,6387.0,6387.0,6387.0,1.0
42,no_solicitantes,administrative_state,6387.0,652.0,6387.0,652.0,2547.3278688524592,0.10208235478315328
42,pendiente_grado,administrative_state,0.0,162.0,892.0,0.0,476.655737704918,0.025364020666979802
42,sin_grado,administrative_state,0.0,1507.0,1507.0,0.0,916.7704918032787,0.23594801941443558
42,con_derecho,administrative_state,0.0,146.0,565.0,0.0,324.11475409836066,0.022858932206043524
42,con_pia,administrative_state,0.0,36.0,133.0,0.0,64.26229508196721,0.0056364490371066224
42,prestacion_efectiva,administrative_state,0.0,3009.0,3009.0,0.0,1598.9180327868853,0.47111319868482854
42,lista_espera,administrative_state,0.0,875.0,875.0,0.0,458.95081967213116,0.13699702520745263
42,grado_I,degree,0.0,1497.0,1497.0,0.0,898.1967213114754,0.368175110673881
42,grado_II,degree,0.0,1462.0,1462.0,0.0,881.9344262295082,0.35956714215445157
42,grado_III,degree,0.0,1107.0,1107.0,0.0,666.1147540983607,0.2722577471716675
42,teleasistencia,benefit,0.0,898.0,898.0,0.0,477.4754098360656,0.29843801927550684
42,ayuda_domicilio,benefit,0.0,678.0,678.0,0.0,360.8688524590164,0.22532402791625125
42,atencion_residencial,benefit,0.0,351.0,351.0,0.0,179.14754098360655,0.11665004985044865
42,cuidados_familiares,benefit,0.0,1082.0,1082.0,0.0,581.4262295081967,0.3595879029577933
43,sistema,system,6387.0,6387.0,6387.0,6387.0,6387.0,1.0
43,vulnerables,population,6387.0,6387.0,6387.0,6387.0,6387.0,1.0
43,no_solicitantes,administrative_state,6387.0,819.0,6387.0,819.0,2760.7049180327867,0.12822921559417566
43,pendiente_grado,administrative_state,0.0,186.0,821.0,0.0,479.327868852459,0.02912165335838422
43,sin_grado,administrative_state,0.0,1399.0,1399.0,0.0,814.1639344262295,0.21903867230311572
43,con_derecho,administrative_state,0.0,129.0,446.0,0.0,263.8360655737705,0.020197275716298733
43,con_pia,administrative_state,0.0,31.0,118.0,0.0,63.18032786885246,0.0048536088930640365
43,prestacion_efectiva,administrative_state,0.0,2504.0,2504.0,0.0,1322.327868852459,0.39204634413652734
43,lista_espera,administrative_state,0.0,1319.0,1319.0,0.0,683.4590163934427,0.20651322999843433
43,grado_I,degree,0.0,1363.0,1363.0,0.0,786.1311475409836,0.34220436856640724
43,grado_II,degree,0.0,1526.0,1526.0,0.0,894.327868852459,0.38312829525483305
43,grado_III,degree,0.0,1094.0,1094.0,0.0,652.344262295082,0.2746673361787597
43,teleasistencia,benefit,0.0,769.0,769.0,0.0,417.0655737704918,0.30710862619808305
43,ayuda_domicilio,benefit,0.0,541.0,541.0,0.0,283.655737704918,0.21605431309904152
43,atencion_residencial,benefit,0.0,269.0,269.0,0.0,135.0983606557377,0.10742811501597443
43,cuidados_familiares,benefit,0.0,925.0,925.0,0.0,486.5081967213115,0.36940894568690097
44,sistema,system,6387.0,6387.0,6387.0,6387.0,6387.0,1.0
44,vulnerables,population,6387.0,6387.0,6387.0,6387.0,6387.0,1.0
44,no_solicitantes,administrative_state,6387.0,661.0,6387.0,661.0,2544.27868852459,0.10349146704242994
44,pendiente_grado,administrative_state,0.0,234.0,921.0,0.0,545.1967213114754,0.03663691874119305
44,sin_grado,administrative_state,0.0,778.0,778.0,0.0,462.1967213114754,0.12180992641302646
44,con_derecho,administrative_state,0.0,150.0,596.0,0.0,349.8032786885246,0.023485204321277594
44,con_pia,administrative_state,0.0,33.0,139.0,0.0,74.81967213114754,0.005166744950681071
44,prestacion_efectiva,administrative_state,0.0,2828.0,2828.0,0.0,1500.0819672131147,0.4427743854704869
44,lista_espera,administrative_state,0.0,1703.0,1703.0,0.0,910.6229508196722,0.26663535306090497
